id,latitude,longitude,type,address,restrictions
1,37.7749,-122.4194,free,"123 Market St, San Francisco, CA",
2,37.7849,-122.4094,paid,"456 Mission St, San Francisco, CA",weekday
3,37.7649,-122.4294,resident,"789 Valencia St, San Francisco, CA",resident_only
4,37.7949,-122.3994,loading,"321 Howard St, San Francisco, CA",business_hours
5,37.7549,-122.4394,paid,"654 Folsom St, San Francisco, CA",weekday
6,37.7779,-122.4179,free,"100 Pine St, San Francisco, CA",
7,37.7889,-122.4079,paid,"200 California St, San Francisco, CA",weekday
8,37.7679,-122.4279,paid,"300 Geary St, San Francisco, CA",weekday
9,37.7979,-122.3979,loading,"400 Bryant St, San Francisco, CA",business_hours
10,37.7579,-122.4379,free,"500 Irving St, San Francisco, CA",
11,37.7719,-122.4219,resident,"600 Hayes St, San Francisco, CA",resident_only
12,37.7819,-122.4119,paid,"700 Post St, San Francisco, CA",weekday
13,37.7619,-122.4319,free,"800 Judah St, San Francisco, CA",
14,37.7919,-122.4019,loading,"900 Townsend St, San Francisco, CA",business_hours
15,37.7519,-122.4419,paid,"1000 Noriega St, San Francisco, CA",weekday
